id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
9009,negative,accusatory,no,"hyperbole, anecdotal evidence, direct address","fearmongering, ad hominem, scapegoating",post hoc ergo propter hoc
9010,negative,informative yet alarmist,yes,"appeal to authority, statistics, reductio ad absurdum","fearmongering, misleading statistics, appeal to emotion",hasty generalization
9011,negative,skeptical,yes,"admission, contrast, appeal to credibility","misleading context, cherry-picking, attacking the opponent",straw man
9012,neutral,cynical,no,"rhetorical question, repetition, anecdote","fear mongering, selective omission, ad hominem","false dilemma, hasty generalization"
9013,positive,defensive,yes,"statistical evidence, appeal to emotion, contrasting statements","fear mongering, straw man argument, appeal to authority",false dilemma
9014,negative,concerned,no,"statistical evidence, juxtaposition, cause and effect","appeal to fear, statistical manipulation, bandwagon effect",hasty generalization
9015,negative,condemnatory,yes,"presidential authority, overgeneralization, appeal to emotion","ad hominem, bandwagon, scare tactics",hasty generalization
9016,negative,critical,yes,"statistical evidence, contrast","ad hominem, fear-mongering",hasty generalization
9017,negative,critical,yes,"juxtaposition, irony, hyperbole","fear appeal, bandwagon",false dichotomy
9018,negative,critical,yes,"historical allusion, appeal to fear","cherry-picking data, manipulation of facts",faulty generalization
9019,positive,assertive,yes,"precision, appeal to authority","bandwagon, fear appeal","false dilemma, strawman"
9020,negative,critical,yes,"statistics, contrast, quotation","fear-mongering, appeal to authority, selective omission",hasty generalization
9021,negative,concerned,yes,"contrast, statistics","fear appeals, anecdotal evidence",hasty generalization
9022,negative,cautionary,yes,"appeal to fear, anecdotal evidence","card stacking, scare tactics",hasty generalization
9023,positive,defensive,no,"contrast, reassurance, appeal to authority","scare tactics, cherry picking, red herring","['false dichotomy', 'overgeneralization']"
9024,positive,confident,no,"anecdotal evidence, hyperbole, call to action","success story, bandwagon appeal",post hoc
9025,neutral,analytical,no,"statistical evidence, comparison, decisive language","cherry-picking, loaded language",hasty generalization
9026,neutral,informative,no,"comparative analysis, hyperbole, emotional appeal","selectivity, framing, appeal to authority",hasty generalization
9027,negative,serious,no,"appeal to authority, urgency","fearmongering, decontextualization",hasty generalization
9028,negative,critical,no,"appeal to authority, ambiguity, contrasting evidence","misleadingly simple, appeal to emotion",straw man
9029,negative,critical,no,"contrast, anecdote, appeal to emotion","scare tactics, cherry-picking, loaded language",hasty generalization
9030,neutral,informative,no,"quantification, contrast, amplification","appeal to authority, cherry-picking, fearmongering",false dilemma
9031,positive,optimistic,no,"superlative, statistics, repetition","glittering generalities, cherry-picking",hasty generalization
9032,neutral,defensive,no,"assertion, evasion, appeal to authority","red herring, fear-mongering, appeal to emotion",non-sequitur
9033,negative,critical,no,"irony, hyperbole","scare tactics, cherry-picking",false cause
9034,negative,alarmist,yes,"appeal to authority,  quantification,  hyperbole","fear-mongering,  bandwagon",post hoc ergo propter hoc
9035,neutral,informative,yes,"anecdote, contrast, quoting authority","appeal to emotion, bandwagon",ambiguity
9036,negative,critical,yes,"anecdotal evidence, appeal to authority","fear mongering, selective omission",post hoc reasoning
9037,negative,alarmist,yes,"appeal to fear, loaded language, generalization","demonization, scapegoating, appeal to emotion",hasty generalization
9038,positive,advocative,no,"comparison, reduction, appeal to value","bandwagon, fear of missing out (fomo), cherry-picking",false dilemma
9039,neutral,assertive,yes,"conditionals, doubt, assurance","fear-inducing language, citing authority, anecdotal evidence","['appeal to fear', 'hasty generalization']"
9040,negative,skeptical,yes,"contrasting, appeal to consequence","cherry-picking, bandwagon",logical fallacy
9041,negative,serious,no,"appeal to authority, anecdotal evidence, counterargument","demonization, fearmongering, cherry-picking",fallacy of composition
9042,positive,optimistic,no,"comparison, quantification, authority","appeal to authority, euphemism, bandwagon","['hasty generalization', 'ambiguity']"
9043,negative,concerned,yes,"statistical evidence, anecdotal reference","cherry-picking, scare tactics",hasty generalization
9044,negative,critical,no,"allusion, emphasis, loaded language","red herring, scare tactics, ad hominem",false cause
9045,positive,persuasive,yes,"statistical evidence, anecdotal reference","appeal to authority, dramatization",false equivalence
9046,negative,critical,yes,"loaded language, contrast, appeal to emotion","card stacking, bandwagon, scapegoating","hasty generalization, false dichotomy"
9047,negative,critical,no,"hyperbole, comparison","fear appeal, selective omission","['hasty generalization', 'false dichotomy']"
9048,negative,serious,yes,"rhetorical question, alliteration, appeal to ethos","card-stacking, scapegoating",post hoc ergo propter hoc
9049,negative,critical,no,"allusion, statistical reference, anecdotal evidence","appeal to authority, bandwagon",hasty generalization
9050,negative,critical,no,"statistical evidence, comparative structure, appeal to authority","fearmongering, emotional appeal",hasty generalization
9051,negative,accusatory,no,"accusation, appeal to authority, causal relationship","name-calling, fear mongering, scare tactics",hasty generalization
9052,positive,optimistic,no,"statistic usage, appeal to emotion, repetition","emotional appeal, simplification, scapegoating","['hasty generalization', 'false dichotomy']"
9053,positive,celebratory,no,"metaphor, analogy","appeal to authority, testimonial",none
9054,negative,accusatory,no,"allegation, appeal to authority, comparison","scapegoating, cherry picking, fearmongering","['hasty generalization', 'post hoc']"
9055,neutral,informative,no,"authority appeal, anecdotal evidence","bandwagon, denial","['post hoc', 'hasty generalization']"
9056,neutral,informative,no,"hyperbole, ambiguity, euphemism","appeal to fear, misleading statistics, red herring",straw man
9057,negative,critical,no,"anecdote, hyperbole, appeal to emotion","name-calling, fear-mongering, testimonials",hasty generalization
9058,negative,cynical,yes,"appeal to authority, hyperbole, contrast","fear mongering, dichotomy, nostalgia",false dilemma
9059,neutral,informational,no,"statistic use, anecdotal evidence","fear appeal, bandwagon",hasty generalization
9060,negative,critical,no,"metaphor, appeal to emotion, enumeratio","demonization, card stacking, name-calling",hasty generalization
9061,negative,critical,yes,"appeal to authority, contrast","cherry picking, ad hominem",straw man fallacy
9062,negative,serious,no,"statistic, time frame, contrast","fear-mongering, anecdotal evidence, bandwagon",straw man
9063,negative,outrageous,no,"hyperbole, comparative language, anecdotal evidence","fear-mongering, selective omission, appeal to emotion",false comparison
9064,negative,critical,no,"appeal to injustice, implied criticism","demonization, scapegoating",false dilemma
9065,negative,accusatory,no,"accusation, emphasis","scapegoating, fear appeal",hasty generalization
9066,neutral,informative,yes,"anecdote, statistics, contrasting statements","fearmongering, scapegoating, emotional appeal","hasty generalization, false cause"
9067,negative,concerned,no,"hyperbole, appeal to authority, anecdote","fearmongering, bandwagon, loaded language",hasty generalization
9068,negative,serious,no,"hyperbole, appeal to emotion, irony","demonization, scapegoating, appeal to authority",post hoc ergo propter hoc
9069,neutral,informative,no,"enumeratio, contrast","appeal to authority, emotional appeal",false dichotomy
9070,neutral,analytical,no,"appeal to authority, ambiguity, anecdote","misleading information, fearmongering, loaded language",false dilemma
9071,positive,assertive,no,"statistical evidence, appeal to logic, antithesis","fear appeal, testimonial, selective omission","['hasty generalization', 'post hoc']"
9072,neutral,informative,yes,"hyperbole, appeal to ethos","card stacking, fear appeal",hasty generalization
9073,neutral,informative,no,"anecdote, contrast","assertion, appeal to authority",no logical fallacy
9074,neutral,analytical,yes,"appeal to authority, statistical evidence, anecdotal evidence","doubt creation, selective evidence","['hasty generalization', 'post hoc fallacy']"
9075,negative,critical,yes,hyperbole,"scapegoating,  appeal to fear","hasty generalization, false comparison"
9076,negative,cautionary,no,"statistical evidence, authority figure quotation, comparison","appeal to emotion, fearmongering, credibility enhancement",hasty generalization
9077,positive,confident,no,"comparison, assertion","appeal to authority, emphasizing evidence","['hasty generalization', 'misleading context']"
9078,negative,critical,no,"appeal to ethos, anecdotal evidence, loaded language","ad hominem, false dilemma, scapegoating",hasty generalization
9079,positive,informative,no,"appeal to authority, use of specific numbers, emphasis","bandwagon, statistics manipulation, fear-mongering",false equivalence
9080,negative,confrontational,no,"hyperbole, attacking the opponent, imagery","name-calling, card stacking, fearmongering","['ambiguity', 'hasty generalization']"
9081,negative,critical,yes,"hyperbole, dichotomy, loaded language","misleading statistics, appeal to emotion, false comparison",straw man
9082,positive,optimistic,yes,"analogy, juxtaposition, hyperbole","cherry-picking, appeal to authority, transfer","false dichotomy, post hoc"
9083,neutral,informative,yes,"hypophora, anaphora","transfer, demonization",begging the question
9084,negative,critical,no,"hyperbole, ambiguity","selectivity, demonization",hasty generalization
9085,positive,defensive,yes,"appeal to patriotism, pathos","demonization, false equivalence",strawman argument
9086,negative,critical,yes,"appeal to emotion, use of statistics, pathos","fear mongering, misleading information",hasty generalization
9087,negative,critical,no,"statistic reference, comparison, rhetorical question","fearmongering, cherry-picking, minimalization",false dilemma
9088,neutral,informative,yes,"comparison, quantification, appeal to authority","scare tactics, cherry-picking",hasty generalization
9089,negative,accusatory,no,"counterargument, appeals to pathos","demonization, selective omission",hasty generalization
9090,negative,accusatory,no,"exaggeration, appeal to authority, dichotomy","card stacking, fearmongering, name-calling","hasty generalization, post hoc"
9091,negative,urgent,no,"statistical evidence, anecdotal evidence, contrast","appeal to fear, selective statistics, emotional appeal",misleading statistic
9092,positive,optimistic,no,"contrast, statistical evidence, appeal to authority","cherry-picking data, fear appeals, transfer",hasty generalization
9093,neutral,critical,no,"anecdote, contrasting, appeal to reason","demonization, false dichotomy",hasty generalization
9094,negative,confrontational,yes,"appeal to emotion, anaphora, juxtaposition","fearmongering, straw man, loaded language","['hasty generalization', 'false dichotomy']"
9095,negative,critical,no,"comparative analysis, anecdotal evidence, dramatic language","selective omission, appeal to emotion, cherry picking",equivocation
9096,neutral,defensive,no,"anaphora, hyperbole, contrast","bandwagon, fearmongering, straw man","['hasty generalization', 'false dichotomy']"
9097,negative,alarmist,no,"hyperbole,  appeal to fear","selective omission,  anecdotal evidence",slippery slope
9098,negative,critical,no,"analogy, hyperbole, emotional appeal","scare tactics, loaded language, false dilemma","['hasty generalization', 'straw man']"
9099,negative,accusatory,no,"contrast, hyperbole, appeal to emotion","name-calling, demonization, card stacking",straw man
9100,negative,critical,yes,"anaphora, hyperbole","ad hominem, fear-mongering","['hasty generalization', 'non sequitur']"
9101,positive,assertive,no,"anaphora, anecdote","fear-mongering, testimonial",hasty generalization
9102,neutral,objective,no,"claim, hyperbole","appeal to authority, unfounded assertions","['ambiguity', 'oversimplification']"
9103,negative,critical,yes,"allusion, emotive language, contrast","bandwagon, fearmongering, nostalgia","oversimplification, hasty generalization"
9104,negative,critical,yes,"juxtaposition, irony","demonization, misleading framing",false dichotomy
9105,positive,optimistic,no,"anecdote, challenging assumptions, contrast","appeal to authority, oversimplification, emotional appeal","hasty generalization, false cause"
9106,negative,critical,yes,"ad hominem, contrast, appeal to authority","cherry-picking, exaggeration, fearmongering",false dichotomy
9107,negative,critical,yes,"appeal to fear, anecdotal evidence, antithesis","name-calling, card-stacking, testimonials",hasty generalization
9108,negative,alarmist,no,"statistics, imagery","fear-mongering, scapegoating",hasty generalization
9109,negative,critical,no,"comparison, hyperbole, anecdote","appeal to emotion, load language, false dilemma","straw man fallacy, hasty generalization"
9110,negative,accusatory,no,"appeal to authority, emotional appeal, causal reasoning","demonization, scapegoating, misleading statistics",hasty generalization
9111,neutral,objective,no,"comparative statement, quoting authority","appeal to fear, bandwagon",none
9112,negative,accusatory,yes,"contradiction, anecdotal evidence","demonization, scapegoating",false dilemma
9113,negative,critical,no,"hyperbole, anecdotal evidence","appeal to emotion, fear tactics",hasty generalization
9114,negative,defensive,yes,"anecdote, appeal to emotion","misleading statistics, omission","hasty generalization, false cause"
9115,negative,critical,no,"assertion, statistics, contrast","appeal to emotion, loading language, selective omission","['false cause', 'hasty generalization']"
9116,negative,critical,yes,"appeal to authority, contrast, anecdote","fearmongering, testimonial, bait and switch",hasty generalization
9117,negative,critical,no,"hyperbole, contrasting arguments, appeal to authority","fearmongering, cherry-picking",hasty generalization
9118,neutral,informative,yes,"analogy, statistics, quoting authority","appeal to emotion, demonization",hasty generalization
9119,positive,optimistic,no,"appeal to authority, concrete details","bandwagon, fear-mongering",hasty generalization
9120,negative,concerned,no,"hyperbole, appeal to emotion, statistical evidence","fearmongering, bandwagon",none
9121,neutral,analytical,yes,"statistics, comparisons, citations","fear appeal, cherry-picking",overgeneralization
9122,neutral,sarcastic,yes,"hyperbole, anecdote, irony","appeal to authority, cherry-picking",fallacy of false cause
9123,negative,alarmist,no,"fear appeal, specificity, pathos","demonization, overgeneralization, scare tactics","false dilemma, hasty generalization"
9124,positive,assertive,no,"statistical evidence, appeal to authority, temporal framing","bandwagon, glittering generalities, fear appeal","['hasty generalization', 'post hoc ergo propter hoc']"
9125,negative,critical,no,"comparison, quantification, appeal to consequences","fear mongering, scapegoating",red herring
9126,neutral,informative,no,"analogy, allusion","bandwagon, fear",false dilemma
9127,negative,critical,yes,"metaphor, comparative analysis, example","emotional appeal, fear tactics",false analogy
9128,negative,critical,yes,"appeal to emotion, contrast","fear mongering, bandwagon effect",red herring
9129,positive,assertive,no,"appeal to authority, statistical evidence, contrast","card stacking, bandwagon, ad hominem",hasty generalization
9130,negative,serious,no,"statistic use, comparison","fear appeal, bandwagon","['hasty generalization', 'post hoc']"
9131,neutral,informative,yes,"hyperbole, contrast, appeal to authority","assertion, card stacking",hasty generalization
9132,negative,critical,no,"ad hominem, appeal to authority","demonization, selective omission","['hasty generalization', 'false dilemma']"
9133,negative,alarmist,no,"loaded language, scare tactics, appeal to emotion, red herring","cherry-picking, fear-mongering, false dilemma",hasty generalization
9134,negative,accusatory,yes,"circular reasoning, loaded language, anecdotal evidence","assertion, demonization, scare tactics","['hasty generalization', 'false cause']"
9135,negative,critical,no,"ad hominem, appeal to authority","name-calling, card stacking, glittering generalities",hasty generalization
9136,negative,critical,no,"exaggeration, exclusivity, loaded language","appeal to emotion, hasty generalization, scapegoating",hasty generalization
9137,negative,alarming,yes,"appeal to emotion, loaded language","demonization, scapegoating",hasty generalization
9138,neutral,critical,yes,"vagueness, appeal to authority, statistics","cherry picking, bandwagon, misleading information",fallacy of ambiguity
9139,negative,confrontational,no,"exclusive claim, fact assertion","ad hominem, fear-mongering",hasty generalization
9140,negative,accusatory,no,"quote, anecdote, hyperbole","appeal to authority, statistical manipulation, emotional appeal",hasty generalization
9141,negative,critical,yes,"oversimplification, distortion, contrast","cherry-picking, fear appeal, name-calling",hasty generalization
9142,negative,cautionary,no,"statistics, historical reference, slippery slope","fearmongering, anecdotal evidence",hasty generalization
9143,neutral,descriptive,no,"contrast, appeal to authority, anecdotal evidence","name-calling, card stacking",ad hominem
9144,negative,concerned,yes,"hyperbole, metaphor","appeal to fear, loaded language",none identified
9145,negative,critical,no,"emphasis, direct address, implication","appeal to emotion, call to action",hasty generalization
9146,negative,cynical,yes,"appeal to emotion, hyperbole, analogy","scapegoating, fearmongering",hasty generalization
9147,negative,critical,yes,"appeal to authority, counterfactual scenario, ambiguity","misleading statistics, anecdotal evidence, demonization",hasty generalization
9148,neutral,cautiously optimistic,yes,"appeal to authority, positive imagery, contrast","fear appeal, bandwagon, card stacking",hasty generalization
9149,negative,critical,yes,"anaphora, hyperbole, pathos","loaded language, appeal to emotion, statistics manipulation",false dichotomy
9150,negative,critical,no,"appeal to authority, rhetorical question","demonization, scapegoating",straw man
9151,negative,defensive,yes,"appeal to authority, historical allusion, contrast","card stacking, false analogy",red herring
9152,neutral,informative,no,"contrast, specificity","appeal to authority, selective omission",false cause
9153,negative,critical,no,"anecdote, contrast","emotional appeal, cherry-picking",hasty generalization
9154,positive,optimistic,no,"anaphora, enumeration","glittering generalities, attacking the credibility",false dichotomy
9155,neutral,informative,no,"analogy, hyperbole","appeal to emotion, simplification",false analogy
9156,negative,critical,no,"exclusion, appeal to unity","card stacking, ad hominem","['fallacy of composition', 'begging the question']"
9157,neutral,descriptive,no,"comparison, contrast, appeal to authority","fear appeal, emotional appeal",false cause
9158,neutral,analytical,no,"statistical evidence, appeal to authority, juxtaposition","cherry-picking, appeal to reason",hasty generalization
9159,negative,pessimistic,no,"statistical evidence, anecdotal reference","appeal to emotion, cherry-picking data",hasty generalization
9160,negative,critical,no,"loaded language, hyperbole","fear-mongering, demonization",hasty generalization
9161,negative,accusatory,no,"appeal to emotion, shifting blame, straw man","name-calling, cherry-picking, appeal to authority",hasty generalization
9162,neutral,descriptive,no,"metaphor, generalization, inclusive language","appeal to tradition, bandwagon technique, misleading statistics","['hasty generalization', 'non sequitur']"
9163,negative,accusatory,no,"hyperbole, demonization, appeal to emotion","scare tactics, ad hominem, card stacking","['straw man', 'false dilemma']"
9164,neutral,informative,no,"euphemism, appeal to authority","red herring, false dichotomy",hasty generalization
9165,neutral,informative,yes,"enumeratio, contrast, appeal to authority","bandwagon, fearmongering, distraction","['hasty generalization', 'cherry-picking']"
9166,negative,alarmist,no,"metaphor, numeric emphasis, appeal to fear","scare tactics, anecdotal evidence, bandwagon","hasty generalization, false cause"
9167,negative,hostile,no,"demonization, provocative language, appeal to fear","scapegoating, fearmongering, oversimplification",hasty generalization
9168,negative,accusatory,no,"anaphora, appeal to emotion, fear appeal","emotional manipulation, misleading comparison",false dilemma
9169,neutral,informative,no,"anecdote, contrast, evocative language","appeal to authority, scare tactics, selective omission",hasty generalization
9170,negative,critical,no,"quoting, appeal to authority, contrast","scapegoating, emotional appeal, bandwagon","['hasty generalization', 'red herring']"
9171,negative,accusatory,no,"hyperbole, appeal to emotion","demonization, repetition",straw man fallacy
9172,positive,optimistic,no,"hyperbole, statistic appeal, direct address","fearmongering, card stacking",appeal to ignorance
9173,neutral,reflective,no,"anaphora, euphemism","appeal to emotion, selective reporting",hasty generalization
9174,neutral,speculative,yes,"comparison, hyperbole","anecdotal evidence, selective disclosure","['hasty generalization', 'ambiguity']"
9175,neutral,informative,no,"quantification, reassurance","redirection, appeal to authority",no logical error
9176,negative,concerned,no,"statistical evidence, contrast, implied causation","fearmongering, selective omission, loaded language","['post hoc ergo propter hoc', 'hasty generalization']"
9177,negative,critical,yes,"metaphor, anaphora, emphatic language","fear appeal, transfer, diminishing returns",straw man
9178,neutral,critical,yes,"distortion, cherry-picking, misrepresentation","emotional appeal, fear-mongering, red herring",straw man
9179,negative,critical,no,"assertion, appeal to fear, ambiguity","scare tactics, ad hominem, demonizing the opponent",slippery slope
9180,negative,critical,yes,"contrast, anecdote","cherry-picking, ad hominem",hasty generalization
9181,negative,critical,yes,"loaded language, appeal to authority","false dichotomy, cherry-picking",hasty generalization
9182,negative,accusatory,no,"appeal to emotion, contrast, hyperbole","demonization, fearmongering, selective omission",hasty generalization
9183,negative,critical,yes,"appeal to authority, hyperbole","cherry-picking, glittering generalities",['false cause']
9184,neutral,analytical,no,"metaphor, downplaying, appeal to authority","fear appeal, cherry-picking","['hasty generalization', 'false dichotomy']"
9185,neutral,inquisitive and suspicious,yes,"irony, rhetorical question, appeal to authority","guilt by association, fearmongering, cherry picking",hasty generalization
9186,neutral,objective,yes,"historical reference, contrast, hyperbole","appeal to fear, bandwagon, testimonial",post hoc ergo propter hoc
9187,negative,accusatory,no,"causation, specificity, appeal to emotion","demonization, selective omission, fear appeals","['post hoc ergo propter hoc', 'hasty generalization']"
9188,negative,serious,yes,"statistics, repetition, contrast","appeal to fear, selective omission, anecdotal evidence",hasty generalization
9189,positive,optimistic,no,"quantification, expert testimony","appeal to authority, fear of loss",post hoc reasoning
9190,neutral,informative,no,"appeal to authority, statistics, dichotomy","fearmongering, transfer",oversimplification
9191,neutral,conversational,no,"hyperbole, colloquialism","appeal to emotion, selective omission",ambiguity
9192,negative,accusatory,yes,"appeal to authority, emotive language, framing","fearmongering, misleading statistics, loaded language",false dichotomy
9193,negative,critical,no,"hyperbole, counterfactual","scare tactics, appeal to fear",hasty generalization
9194,neutral,persuasive,yes,"hyperbole, appeal to emotion, quoting authority","cherry picking, false equivalence, misleading statistics","['post hoc fallacy', 'hasty generalization']"
9195,negative,critical,no,"hyperbole, statistics","appeal to fear, scapegoating",false dilemma
9196,negative,critical,no,"anaphora, antithesis","fearmongering, bandwagon",none
9197,negative,critical,yes,"generalization, appeal to authority","scapegoating, fearmongering",hasty generalization
9198,negative,dramatic,no,"metaphor, dramatic language","fear appeal, scapegoating",none
9199,neutral,impartial,no,"appeal to authority, chronology","appeal to emotion, demonization",false dilemma
9200,positive,optimistic,no,"hyperbole, inclusive language, contrast","cherry-picking, ad hominem",begging the question
9201,negative,critical,no,"juxtaposition, appeal to emotion","selective comparison, exaggeration",post hoc ergo propter hoc
9202,positive,defensive,no,"emphasis, contrast, appeal to ethos","bandwagon, card stacking, transfer","hasty generalization, false dichotomy"
9203,negative,cautionary,yes,"hyperbole, appeal to emotion","cherry picking, false dichotomy",hasty generalization
9204,negative,alarmist,no,"assertion, call to emotion, hyperbole","fearmongering, demonization, scapegoating",post hoc fallacy
9205,neutral,cautious,yes,"appeal to authority, use of quantification, contrast","fear-mongering, simplification, omission",hasty generalization
9206,negative,alarmist,no,"appeal to emotion, inclusive language","fearmongering, selective omission",oversimplification
9207,positive,optimistic,no,"appeal to authority, quantification, direct quotation","card stacking, fear appeal",hasty generalization
9208,negative,alarmist,yes,"conditional statement, appeal to fear","fearmongering, limited information",slippery slope
9209,negative,critical,yes,"contrast, anecdote","card stacking, demonizing the opposition",hasty generalization
9210,positive,optimistic,no,"use of specific numbers, temporal reference, inclusive language","appeal to success, strategic ambiguity, emotional appeal","['hasty generalization', 'red herring']"
9211,negative,critical,no,"loaded language, allusion","fear-mongering, demonization",hasty generalization
9212,negative,alarmist,yes,"metaphor, emphasis","scare tactics, division","hasty generalization, false dilemma"
9213,neutral,analytical,yes,"anecdotal evidence, appeal to authority","cherry-picking, card stacking",hasty generalization
9214,negative,defensive,yes,"apostrophe, understatement","scapegoating, appeal to authority",red herring
9215,negative,defensive,yes,appeal to authority,fear-mongering,hasty generalization
9216,neutral,informative,no,"assertion, contrast, causation","emotional appeal, appeal to authority, fear-mongering","['oversimplification', 'red herring']"
9217,positive,optimistic,no,"bipartisanship, statistical emphasis","appeal to authority, fear appeal",hasty generalization
9218,negative,concerned,yes,"use of authoritative source, statistical evidence, comparative statistics","appeal to authority, appeal to fear, common good",no significant logical errors identified
9219,positive,optimistic,yes,"enumeration, appeal to authority","card stacking, transfer",fallacy of composition
9220,neutral,defensive,yes,"contrast, understatement, appeal to emotions","misleading information, scapegoating, appeal to authority",hasty generalization
9221,neutral,informative,no,"hyperbole, comparative statement","ad hominem attack, fearmongering","['attacking the person', 'post hoc ergo propter hoc']"
9222,neutral,objective,no,"appeal to authority, comparison","card stacking, transfer",no true scotsman
9223,neutral,informative,no,"contrast, anecdote, appeal to authority","card stacking, glittering generalities, bandwagon","['hasty generalization', 'false cause']"
9224,positive,defensive,no,"appeal to authority, inclusive language, emphasis","assertion, bandwagon, fear appeal","['hasty generalization', 'appeal to emotion']"
9225,positive,optimistic,no,"repetition, appeal to authority, contrast","card stacking, name-calling, glittering generalities","['hasty generalization', 'red herring']"
9226,negative,concerned,no,"statistical evidence, personal testimony, pathos","card-stacking, fear appeal, bandwagon","['slippery slope', 'hasty generalization']"
9227,neutral,informational,yes,"enumeratio, exclusion, contrast","bandwagon, fearmongering",ambiguity
9228,negative,accusatory,yes,"anecdote, appeal to emotion, contrast","fearmongering, guilt by association, red herring",hasty generalization
9229,positive,assertive,no,"anaphora,  emphasis","glittering generalities,  testimonial",hasty generalization
9230,negative,sarcastic,yes,"analogy, hyperbole, quotations","demonization, selective omission, fearmongering","['post hoc', 'hasty generalization']"
9231,neutral,assertive,yes,"hyperbole, contrast","anecdotal evidence, appeal to emotion",ambiguity
9232,negative,critical,yes,"appeal to authority, contrast","misleading statistics, emotion appeal",hasty generalization
9233,negative,protest,yes,"irony, hyperbole, allusion","appeal to emotion, false dilemma, bandwagon","hasty generalization, red herring"
9234,negative,indignant,no,"appeal to emotion, hyperbole","fear-mongering, misleading information",straw man argument
9235,negative,alarmist,no,"appeal to fear, dichotomy","scare tactics, slippery slope",hasty generalization
9236,negative,critical,yes,"appeal to authority, hyperbole","fearmongering, cherry picking",hasty generalization
9237,negative,critical,no,"anaphora, complexity","fear-mongering, bandwagon",straw man
9238,neutral,informative,no,"allusion, euphemism","appeal to emotion, ad hominem",post hoc fallacy
9239,negative,alarmist,yes,"statistics,  emphasis","fear-mongering,  selective omission",hasty generalization
9240,negative,cautionary,no,"hypothetical situations, contrast, appeal to emotion","fear appeal, historical reference","['post hoc ergo propter hoc', 'hasty generalization']"
9241,negative,cautionary,no,"statistics, quoting, sensationalism","fear mongering, bipartisan appeal, scapegoating",false dilemma
9242,negative,alarming,yes,"hyperbole, appeal to authority","fearmongering, cherry-picking",red herring
9243,negative,critical,no,"selective quoting, contrast, appeal to credibility","misleading information, ad hominem",straw man
9244,negative,critical,no,"appeal to authority, contrast, hyperbole","demonization, scapegoating, emotional appeals",hasty generalization
9245,negative,critical,no,"direct statement, appeal to authority","fear-mongering, cherry-picking",hasty generalization
9246,negative,critical,no,"emotional appeal, comparison, authority appeal","fearmongering, bandwagon, misleading statistics","['hasty generalization', 'post hoc fallacy']"
9247,negative,critical,no,"hyperbole, anecdotal evidence, appeal to authority","scare tactics, false dilemma, emotional appeal","['hasty generalization', 'non sequitur']"
9248,negative,accusatory,no,"anaphora, hyperbole, euphemism","scapegoating, fear-mongering",hasty generalization
9249,negative,accusatory,yes,"appeal to emotion, direct accusation","fear-mongering, cherry-picking",straw man
9250,neutral,informative,no,"metaphor, statistics, appeal to authority","card stacking, fear, transfer","['hasty generalization', 'false cause']"
9251,negative,critical,no,"name-calling, loaded language","misleading statistics, ad hominem",hasty generalization
9252,negative,critical,yes,"appeal to authority, causal implication, ad hominem","card stacking, fear mongering, demonization",appeal to inconsistency
9253,negative,accusatory,no,"metaphor, hyperbole, allusion","appeal to authority, ad hominem, fearmongering","false cause, hasty generalization"
9254,positive,assertive,no,"comparison, cause and effect, statistics","appeal to authority, emotionally charged language, false dichotomy",red herring
9255,negative,alarmist,no,"emotional appeal, hyperbole, dichotomy","scare tactics, testimonials, reductio ad absurdum","hasty generalization, begging the question"
9256,negative,critical,yes,"statistics, quoting authority","exaggeration, obfuscation",strawman fallacy
9257,negative,accusatory,yes,"accusation, concession, comparison","blame, red herring, fear-mongering",ad hominem
9258,positive,optimistic,yes,"numerical emphasis, contrast","appeal to emotion, misleading statistics",overgeneralization
9259,positive,optimistic,no,"contrast, appeal to authority, generalization","bandwagon, emotional appeal",hasty generalization
9260,positive,optimistic,no,"statistics, specificity","appeal to environment, fear of waste",none
9261,negative,critical,no,"juxtaposition, authority, emphasis","name-calling, bandwagon, scapegoating",false dilemma
9262,negative,critical,no,"hyperbole,  anecdote","scapegoating,  fearmongering",hasty generalization
9263,negative,cynical,yes,"analogy, contrast, euphemism","appeal to emotion, card stacking, false dichotomy",hasty generalization
9264,negative,alarmist,no,"anecdote, pathos, hyperbole","appeal to authority, fear mongering",hasty generalization
9265,negative,somber,yes,"metaphor, contrast, hyperbole","fear-mongering, appeal to emotion, selective omission",ambiguity and overgeneralization
9266,negative,serious,no,"vivid imagery, specificity, direct quotation","fear appeal, bandwagon, appeal to authority",none apparent
9267,negative,conversational,yes,"exaggeration, appeal to authority","cherry picking, misleading use of language",straw man
9268,negative,critical,yes,"appeal to authority, loaded language","scare tactics, cherry picking",misleading statistics
9269,neutral,analytical,no,"appeal to authority, conditional statement, contrast","selective omission, bandwagon, red herring",appeal to inconsistency
9270,negative,aggressive,no,"ad hominem, hyperbole, assonance","scapegoating, fearmongering, demonization","['post hoc ergo propter hoc', 'hasty generalization']"
9271,negative,concerns and warnings,yes,"statistics, direct quotation, comparison","fearmongering, appeal to emotion, cherry-picking data",hasty generalization
9272,neutral,informative,no,"appeal to authority, repetition","bandwagon, misleading statistics",no true scotsman
9273,neutral,defensive,yes,"contrast, expectation subversion, anecdotal reference","appeal to authority, scapegoating, emotional appeal","hasty generalization, false dichotomy"
9274,neutral,cautious,yes,"hedging, parenthesis, contrast","fear-mongering, bandwagon",fallacy of composition
